table(i,j), i, j = 2.62405e+01, 1, 32
table(i,j), i, j = 2.62210e+01, 1, 33
table(i,j), i, j = 2.62112e+01, 1, 34
table(i,j), i, j = 2.61741e+01, 1, 35
table(i,j), i, j = 2.61741e+01, 1, 36
table(i,j), i, j = 2.61546e+01, 1, 37
table(i,j), i, j = 2.61155e+01, 1, 38
table(i,j), i, j = 2.61155e+01, 1, 39
table(i,j), i, j = 2.60764e+01, 1, 40
table(i,j), i, j = 2.60568e+01, 1, 41
table(i,j), i, j = 2.60177e+01, 1, 42
table(i,j), i, j = 2.59786e+01, 1, 43
table(i,j), i, j = 2.59590e+01, 1, 44
table(i,j), i, j = 2.59590e+01, 1, 45
table(i,j), i, j = 2.59395e+01, 1, 46
table(i,j), i, j = 2.59199e+01, 1, 47
table(i,j), i, j = 2.59004e+01, 1, 48
table(i,j), i, j = 2.58731e+01, 1, 49
table(i,j), i, j = 2.58731e+01, 1, 50
table(i,j), i, j = 2.57949e+01, 1, 51
table(i,j), i, j = 2.57558e+01, 1, 52
table(i,j), i, j = 2.57167e+01, 1, 53
table(i,j), i, j = 2.57167e+01, 1, 54
table(i,j), i, j = 2.57167e+01, 1, 55
table(i,j), i, j = 2.57167e+01, 1, 56
table(i,j), i, j = 2.57558e+01, 1, 57
table(i,j), i, j = 2.56776e+01, 1, 58
table(i,j), i, j = 2.56385e+01, 1, 59
table(i,j), i, j = 2.56385e+01, 1, 60
table(i,j), i, j = 2.56385e+01, 1, 61
table(i,j), i, j = 2.56385e+01, 1, 62
table(i,j), i, j = 2.56385e+01, 1, 63
table(i,j), i, j = 2.56385e+01, 1, 64
table(i,j), i, j = 2.55994e+01, 1, 65
table(i,j), i, j = 2.55994e+01, 1, 66
table(i,j), i, j = 2.55330e+01, 1, 67
table(i,j), i, j = 2.54548e+01, 1, 68
table(i,j), i, j = 2.54548e+01, 1, 69
table(i,j), i, j = 2.53765e+01, 1, 70
table(i,j), i, j = 2.53765e+01, 1, 71
table(i,j), i, j = 2.52983e+01, 1, 72
table(i,j), i, j = 2.52983e+01, 1, 73
table(i,j), i, j = 2.51537e+01, 1, 74
table(i,j), i, j = 2.51537e+01, 1, 75
table(i,j), i, j = 2.51537e+01, 1, 76
table(i,j), i, j = 2.51537e+01, 1, 77
table(i,j), i, j = 2.51537e+01, 1, 78
table(i,j), i, j = 2.49973e+01, 1, 79
table(i,j), i, j = 2.49973e+01, 1, 80
table(i,j), i, j = 2.49973e+01, 1, 81
table(i,j), i, j = 2.49973e+01, 1, 82
table(i,j), i, j = 2.46963e+01, 1, 83
table(i,j), i, j = 2.46963e+01, 1, 84
table(i,j), i, j = 2.46963e+01, 1, 85
table(i,j), i, j = 2.46963e+01, 1, 86
table(i,j), i, j = 2.46963e+01, 1, 87
table(i,j), i, j = 2.46963e+01, 1, 88
table(i,j), i, j = 2.46963e+01, 1, 89
table(i,j), i, j = 2.46963e+01, 1, 90
table(i,j), i, j = 2.46963e+01, 1, 91
table(i,j), i, j = 2.46963e+01, 1, 92
table(i,j), i, j = 2.46963e+01, 1, 93
table(i,j), i, j = 2.46963e+01, 1, 94
table(i,j), i, j = 2.46963e+01, 1, 95
table(i,j), i, j = 2.46963e+01, 1, 96
table(i,j), i, j = 2.46963e+01, 1, 97
table(i,j), i, j = 2.46963e+01, 1, 98
table(i,j), i, j = 2.46963e+01, 1, 99
table(i,j), i, j = -5.14541e+01, 1, 100
table(i,j), i, j = -5.14541e+01, 1, 101
table(i,j), i, j = -5.14541e+01, 1, 102
table(i,j), i, j = -5.14541e+01, 1, 103
table(i,j), i, j = -5.14541e+01, 1, 104
table(i,j), i, j = -5.14541e+01, 1, 105
table(i,j), i, j = -5.14541e+01, 1, 106
table(i,j), i, j = -5.14541e+01, 1, 107
table(i,j), i, j = -5.14541e+01, 1, 108
table(i,j), i, j = -5.14541e+01, 1, 109
table(i,j), i, j = -5.14541e+01, 1, 110
table(i,j), i, j = -5.14541e+01, 1, 111
table(i,j), i, j = -5.14541e+01, 1, 112
table(i,j), i, j = -5.14541e+01, 1, 113
table(i,j), i, j = -5.14541e+01, 1, 114
table(i,j), i, j = -5.14541e+01, 1, 115
table(i,j), i, j = -5.14541e+01, 1, 116
table(i,j), i, j = -5.14541e+01, 1, 117
table(i,j), i, j = -5.14541e+01, 1, 118
table(i,j), i, j = -5.14541e+01, 1, 119
table(i,j), i, j = -5.14541e+01, 1, 120
table(i,j), i, j = -5.14541e+01, 1, 121
table(i,j), i, j = -5.14541e+01, 1, 122
table(i,j), i, j = -5.14541e+01, 1, 123
table(i,j), i, j = -5.14541e+01, 1, 124
table(i,j), i, j = -5.14541e+01, 1, 125
table(i,j), i, j = -5.14541e+01, 1, 126
table(i,j), i, j = -5.14541e+01, 1, 127
table(i,j), i, j = -5.14541e+01, 1, 128
table(i,j), i, j = -5.14541e+01, 1, 129
table(i,j), i, j = -5.14541e+01, 1, 130
table(i,j), i, j = -5.14541e+01, 1, 131
table(i,j), i, j = -5.14541e+01, 1, 132
table(i,j), i, j = -5.14541e+01, 1, 133
table(i,j), i, j = -5.14541e+01, 1, 134
table(i,j), i, j = -5.14541e+01, 1, 135
table(i,j), i, j = -5.14541e+01, 1, 136
table(i,j), i, j = -5.14541e+01, 1, 137
table(i,j), i, j = -5.14541e+01, 1, 138
table(i,j), i, j = -5.14541e+01, 1, 139
table(i,j), i, j = -5.14541e+01, 1, 140
table(i,j), i, j = -5.14541e+01, 1, 141
table(i,j), i, j = -5.14541e+01, 1, 142
table(i,j), i, j = -5.14541e+01, 1, 143
table(i,j), i, j = -5.14541e+01, 1, 144
table(i,j), i, j = -5.14541e+01, 1, 145
table(i,j), i, j = -5.14541e+01, 1, 146
table(i,j), i, j = -5.14541e+01, 1, 147
table(i,j), i, j = -5.14541e+01, 1, 148
